countyid,county
101,County1
102,County2
109,County3
110,County4
111,County5
112,County6
115,County7
116,County8
117,County9
118,County10
119,County11
120,County12
301,County13
302,County14
303,County15
304,County16
305,County17
306,County18
307,County19
308,County20
309,County21
310,County22
311,County23
312,County24
313,County25
314,County26
315,County27
316,County28
317,County29
318,County30
319,County31
320,County32
321,County33
322,County34
323,County35
324,County36
325,County37
326,County38
327,County39
328,County40
329,County41
501,County42
502,County43
503,County44
504,County45
505,County46
506,County47
507,County48
508,County49
509,County50
510,County51
511,County52
512,County53
513,County54
514,County55
515,County56
516,County57
517,County58
518,County59
519,County60
520,County61
521,County62
522,County63
523,County64
524,County65
525,County66
526,County67
527,County68
528,County69
529,County70
530,County71
531,County72
532,County73
533,County74
534,County75
535,County76
537,County77
538,County78
701,County79
702,County80
703,County81
704,County82
705,County83
706,County84
707,County85
708,County86
709,County87
710,County88
711,County89
712,County90
713,County91
714,County92
715,County93
716,County94
717,County95
718,County96
719,County97
720,County98
721,County99
722,County100
723,County101
724,County102
725,County103
726,County104
727,County105
728,County106
729,County107
730,County108
731,County109
732,County110
733,County111
734,County112
735,County113
736,County114
737,County115
738,County116
1101,County117
1102,County118
1103,County119
1104,County120
1105,County121
1106,County122
1107,County123
1201,County124
1204,County125
1205,County126
2201,County127
2202,County128
3101,County129
3102,County130
3103,County131
3104,County132
3105,County133
3106,County134
3107,County135
3108,County136
3109,County137
3110,County138
3111,County139
3112,County140
3113,County141
3114,County142
3115,County143
3116,County144
3117,County145
3118,County146
3119,County147
3120,County148
3121,County149
3122,County150
3123,County151
3124,County152
3125,County153
3126,County154
3127,County155
3128,County156
3129,County157
3201,County158
3202,County159
3203,County160
3204,County161
3205,County162
3206,County163
3207,County164
3208,County165
3209,County166
3210,County167
3211,County168
3212,County169
3213,County170
3301,County171
3302,County172
3303,County173
3305,County174
3306,County175
3307,County176
3308,County177
3309,County178
3310,County179
3311,County180
3312,County181
3313,County182
3314,County183
3401,County184
3402,County185
3403,County186
3404,County187
3405,County188
3406,County189
3407,County190
3408,County191
3409,County192
3410,County193
3411,County194
3412,County195
3501,County196
3502,County197
3503,County198
3504,County199
3505,County200
3506,County201
3507,County202
3508,County203
3509,County204
3510,County205
3511,County206
3512,County207
3513,County208
3514,County209
3515,County210
3516,County211
3517,County212
3518,County213
3701,County214
3702,County215
3703,County216
3704,County217
3705,County218
3706,County219
3707,County220
3708,County221
3709,County222
3710,County223
3711,County224
3712,County225
3713,County226
3714,County227
3715,County228
3716,County229
3717,County230
3718,County231
3719,County232
3720,County233
3721,County234
3722,County235
3723,County236
3724,County237
3725,County238
3726,County239
3801,County240
3802,County241
3803,County242
3804,County243
3805,County244
3806,County245
3807,County246
3808,County247
3809,County248
3810,County249
3811,County250
3812,County251
3813,County252
3901,County253
3902,County254
3903,County255
3904,County256
3905,County257
3906,County258
3907,County259
3908,County260
3909,County261
3910,County262
3911,County263
3912,County264
3913,County265
3914,County266
3915,County267
3916,County268
3917,County269
3918,County270
3919,County271
3920,County272
4001,County273
4002,County274
4003,County275
4004,County276
4005,County277
4006,County278
4007,County279
4008,County280
4009,County281
4010,County282
4011,County283
4012,County284
4013,County285
4014,County286
4015,County287
4016,County288
4017,County289
4018,County290
4301,County291
4302,County292
4303,County293
4304,County294
4305,County295
4306,County296
4307,County297
4308,County298
4309,County299
4310,County300
4311,County301
4312,County302
4313,County303
4314,County304
4315,County305
4316,County306
4317,County307
4318,County308
4319,County309
4320,County310
4321,County311
4322,County312
4323,County313
4324,County314
4325,County315
4326,County316
4327,County317
4328,County318
4329,County319
4330,County320
4331,County321
4332,County322
4333,County323
4401,County324
4402,County325
4403,County326
4404,County327
4405,County328
4406,County329
4501,County330
4502,County331
4503,County332
4504,County333
4505,County334
4506,County335
4507,County336
4508,County337
4509,County338
4510,County339
4511,County340
4512,County341
4513,County342
4601,County343
4602,County344
4603,County345
4604,County346
4605,County347
4606,County348
4607,County349
4608,County350
4609,County351
4610,County352
4611,County353
4612,County354
4613,County355
4614,County356
4615,County357
4616,County358
9001,County359
9002,County360
9003,County361
9004,County362
9005,County363
9006,County364
9101,County365
9102,County366
9103,County367
9104,County368
